,SettlementPoint,Year,Month,AveragePrice
532,LZ_RAYBN,2017,04,22.22488178025035
533,LZ_RAYBN,2017,05,24.007200538358006
534,LZ_RAYBN,2017,06,26.132044506258694
535,LZ_RAYBN,2017,07,30.766473755047105
536,LZ_RAYBN,2017,08,26.832718707940778
537,LZ_RAYBN,2017,09,23.54283727399166
538,LZ_RAYBN,2017,10,21.382664872139973
539,LZ_RAYBN,2017,11,21.836620305980528
540,LZ_RAYBN,2017,12,21.31749663526245
541,LZ_RAYBN,2018,01,39.386487213997306
542,LZ_RAYBN,2018,02,22.416900149031296
543,LZ_RAYBN,2018,03,23.818517520215632
544,LZ_RAYBN,2018,04,27.21574408901252
545,LZ_RAYBN,2018,05,40.9807133243607
546,LZ_RAYBN,2018,06,31.9626842837274
547,LZ_RAYBN,2018,07,84.9835666218035
548,LZ_RAYBN,2018,08,32.53534320323015
549,LZ_RAYBN,2018,09,27.693977746870654
550,LZ_RAYBN,2018,10,30.641897711978466
551,LZ_RAYBN,2018,11,33.469109874826145
552,LZ_RAYBN,2018,12,31.551238223418572
553,LZ_RAYBN,2019,01,24.416716016150744
554,LZ_RAYBN,2019,02,21.06521609538003
555,LZ_RAYBN,2019,03,29.82366576819407
556,LZ_RAYBN,2019,04,25.001279554937412
557,LZ_RAYBN,2019,05,24.78755047106326
558,LZ_RAYBN,2019,06,25.464005563282342
559,LZ_RAYBN,2019,07,30.05056527590848
560,LZ_RAYBN,2019,08,127.04798115746974
561,LZ_RAYBN,2019,09,80.79019471488178
562,LZ_RAYBN,2019,10,28.571467025572005
563,LZ_RAYBN,2019,11,24.527552155771907
564,LZ_SOUTH,2016,01,19.282932078009416
565,LZ_SOUTH,2016,02,15.944892086330936
566,LZ_SOUTH,2016,03,19.53745283018868
567,LZ_SOUTH,2016,04,20.747454798331013
568,LZ_SOUTH,2016,05,20.702664872139973
569,LZ_SOUTH,2016,06,27.487927677329623
570,LZ_SOUTH,2016,07,28.902409152086136
571,LZ_SOUTH,2016,08,31.841036339165544
572,LZ_SOUTH,2016,09,28.775173852573015
